scenario,grouped_region,year,Bcm,Tcf,EJ
historical,USA,2010,678,23.94334394,24.40707843
historical,USA,2021,871,30.75907458,31.35481609
IEA-STEPS,USA,2030,864,30.51187192,31.1028256
IEA-STEPS,USA,2050,575,20.30593328,20.69921843
IEA-APS,USA,2030,716,25.28530127,25.77502677
IEA-APS,USA,2050,252,8.899295976,9.071657468
historical,Can.+Mex.,2010,157,5.544402652,5.651786597
historical,Can.+Mex.,2021,235,8.298946644,8.459680575
IEA-STEPS,Can.+Mex.,2030,254,8.969925309,9.14365475
IEA-STEPS,Can.+Mex.,2050,245,8.65209331,8.819666983
IEA-APS,Can.+Mex.,2030,217,7.663282646,7.811705042
IEA-APS,Can.+Mex.,2050,144,5.085311986,5.183804267
historical,LAC,2010,147,5.191255986,5.29180019
historical,LAC,2021,161,5.685661318,5.79578116
IEA-STEPS,LAC,2030,159,5.615031985,5.723783879
IEA-STEPS,LAC,2050,179,6.321325316,6.443756694
IEA-APS,LAC,2030,141,4.979367987,5.075808345
IEA-APS,LAC,2050,96,3.390207991,3.455869512
historical,Europe,2010,698,24.64963727,25.12705124
historical,Europe,2021,625,22.07166661,22.49915047
IEA-STEPS,Europe,2030,511,18.04579462,18.39530542
IEA-STEPS,Europe,2050,395,13.9492933,14.21946309
IEA-APS,Europe,2030,394,13.91397863,14.18346445
IEA-APS,Europe,2050,122,4.308389322,4.391834171
historical,Africa,2010,105,3.70803999,3.779857278
historical,Africa,2021,172,6.07412265,6.191766208
IEA-STEPS,Africa,2030,215,7.592653313,7.73970776
IEA-STEPS,Africa,2050,292,10.31188264,10.5116031
IEA-APS,Africa,2030,189,6.674471982,6.803743101
IEA-APS,Africa,2050,193,6.815730648,6.947737664
historical,Middle East,2010,391,13.80803463,14.07546853
historical,Middle East,2021,567,20.02341595,20.4112293
IEA-STEPS,Middle East,2030,689,24.33180527,24.80306347
IEA-STEPS,Middle East,2050,833,29.41711725,29.98686774
IEA-APS,Middle East,2030,638,22.53075727,22.9671328
IEA-APS,Middle East,2050,582,20.55313595,20.95120891
historical,Russia,2010,472,16.66852262,16.99135843
historical,Russia,2021,543,19.17586395,19.54726193
IEA-STEPS,Russia,2030,498,17.58670395,17.92732309
IEA-STEPS,Russia,2050,470,16.59789329,16.91936115
IEA-APS,Russia,2030,470,16.59789329,16.91936115
IEA-APS,Russia,2050,424,14.97341863,15.26342368
historical,rest of Eurasia,2010,106,3.743354657,3.815855919
historical,rest of Eurasia,2021,119,4.202445322,4.283838249
IEA-STEPS,rest of Eurasia,2030,128,4.520277321,4.607826016
IEA-STEPS,rest of Eurasia,2050,165,5.826919984,5.939775723
IEA-APS,rest of Eurasia,2030,117,4.131815989,4.211840967
IEA-APS,rest of Eurasia,2050,108,3.81398399,3.887853201
historical,China,2010,110,3.884613323,3.959850482
historical,China,2021,368,12.9957973,13.24749979
IEA-STEPS,China,2030,443,15.64439729,15.94739785
IEA-STEPS,China,2050,442,15.60908262,15.91139921
IEA-APS,China,2030,406,14.33775463,14.61544814
IEA-APS,China,2050,238,8.404890644,8.567676498
historical,India,2010,64,2.260138661,2.303913008
historical,India,2021,66,2.330767994,2.375910289
IEA-STEPS,India,2030,115,4.061186656,4.139843686
IEA-STEPS,India,2050,170,6.003493317,6.119768927
IEA-APS,India,2030,110,3.884613323,3.959850482
IEA-APS,India,2050,102,3.60209599,3.671861356
historical,rest of Asia,2010,402,14.19649596,14.47145358
historical,rest of Asia,2021,486,17.16292795,17.4953394
IEA-STEPS,rest of Asia,2030,485,17.12761329,17.45934076
IEA-STEPS,rest of Asia,2050,561,19.81152795,20.19523746
IEA-APS,rest of Asia,2030,467,16.49194929,16.81136523
IEA-APS,rest of Asia,2050,391,13.80803463,14.07546853
